(M;N),C
(1;1),0.746124192826934
(2;2),0.753623338935972
(3;3),0.755853814720109
(4;4),0.756721043667428
(5;5),0.757124734628967
(6;6),0.757337420047603
(7;7),0.757459962418342
(8;8),0.757535497384074
(9;9),0.757584576328927
(10;10),0.757617842746590
(20;20),0.757706010634550
(30;30),0.757716808227192
(40;40),0.757719446125683
(50;50),0.757720634650427
(60;60),0.757721193211528
(70;70),0.757721494818929
(80;80),0.757721627804564
(90;90),0.757721832264399
(100;100),0.757721875250150
(150;150),0.757722039130460
