# Points in x grid, Fourier times [s], Explicit collocation times [s], Implicit collocation times [s]
1.600000000000000000e+01,3.153991699218750000e-02,9.724140167236328125e-03,9.176254272460937500e-03
1.900000000000000000e+01,2.958893775939941406e-02,1.140189170837402344e-02,1.241302490234375000e-02
3.200000000000000000e+01,2.863287925720214844e-02,1.805686950683593750e-02,1.636815071105957031e-02
4.000000000000000000e+01,4.634523391723632812e-02,3.123211860656738281e-02,1.990170478820800781e-01
6.400000000000000000e+01,9.103012084960937500e-02,1.401929855346679688e-01,8.717608451843261719e-02
8.500000000000000000e+01,4.919290542602539062e-02,1.186287403106689453e-01,9.957003593444824219e-02
1.280000000000000000e+02,4.307007789611816406e-02,2.263898849487304688e-01,2.204170227050781250e-01
1.800000000000000000e+02,5.814003944396972656e-02,4.949288368225097656e-01,1.073078155517578125e+00
2.560000000000000000e+02,5.655670166015625000e-02,9.386942386627197266e-01,7.654719352722167969e-01
3.780000000000000000e+02,3.652715682983398438e-02,1.682824850082397461e+00,2.020086050033569336e+00
5.120000000000000000e+02,3.754377365112304688e-02,3.925594091415405273e+00,2.463534116744995117e+00
7.940000000000000000e+02,8.020305633544921875e-02,6.188436985015869141e+00,1.097481226921081543e+01
1.024000000000000000e+03,1.263429737091064453e-01,1.282981181144714355e+01,1.820800399780273438e+01
1.667000000000000000e+03,2.070627212524414062e-01,3.158865571022033691e+01,2.456629896163940430e+01
2.048000000000000000e+03,6.932616233825683594e-02,3.336910223960876465e+01,3.666931319236755371e+01
3.502000000000000000e+03,1.803328990936279297e-01,1.023449170589447021e+02,1.088605470657348633e+02
